locationuid,locationtype,parentlocationuid,community_name,tract_geoid,roadsegid,speed,oneway,abloaddr,abhiaddr,rd30full,geometry
004361eb,WALKWAY,004361eb,Downtown,14000US00000006974,40052,35,T,2100,2199,KETTNER BLVD,"LINESTRING (-117.1706148251287 32.72654890568484, -117.1705438371338 32.72656529512148)"
00456472,TRAFFIC_LANE,00456472,Downtown,14000US00000006974,40052,35,T,2100,2199,KETTNER BLVD,"LINESTRING (-117.1705245131968 32.72655851720778, -117.1704538241028 32.72658290323705)"
0051796c,WALKWAY,0051796c,Downtown,14000US00000006974,54946,20,F,1600,1699,STATE ST,"LINESTRING (-117.1666581391174 32.72221466186244, -117.1665764463296 32.7222103822281)"
00537bf3,TRAFFIC_LANE,00537bf3,Downtown,14000US00000007137,54946,20,F,1600,1699,STATE ST,"LINESTRING (-117.166581746989 32.72221788556654, -117.1664374886782 32.72221962180797)"
005f90ed,WALKWAY,005f90ed,Downtown,14000US00000006974,54945,20,F,1700,1799,STATE ST,"LINESTRING (-117.1665182431566 32.72381088990277, -117.1665776145208 32.7238009339824)"
00619374,TRAFFIC_LANE,00619374,Downtown,14000US00000006974,54945,20,F,1700,1799,STATE ST,"LINESTRING (-117.1666004261231 32.72376168039614, -117.1667628034928 32.72373734414144)"
006bbb6e,WALKWAY,006bbb6e,Downtown,14000US00000006937,2809,20,B,400,499,13TH ST,"LINESTRING (-117.1529442467722 32.71047605578817, -117.1530044441433 32.71047647101815)"
006da86e,WALKWAY,006da86e,Downtown,14000US00000006940,40049,20,T,1300,1399,KETTNER BLVD,"LINESTRING (-117.1691082585662 32.71939349562473, -117.1690532151958 32.7193936630952)"
006dbdf5,TRAFFIC_LANE,006dbdf5,Downtown,14000US00000006937,2809,20,B,400,499,13TH ST,"LINESTRING (-117.1530642243082 32.71048655897566, -117.1530816953905 32.71042947925383)"
0079d2ef,WALKWAY,0079d2ef,Carmel Mountain Ranch,14000US00000002768,15990,35,B,11800,11999,CARMEL MOUNTAIN RD,"LINESTRING (-117.0760328030066 32.98316287631791, -117.0760019068547 32.9832181388355)"
007bbfef,WALKWAY,007bbfef,Downtown,14000US00000006974,37315,20,F,1500,1599,INDIA ST,"LINESTRING (-117.1682212859689 32.72128327117085, -117.1681812047091 32.72127123267187)"
007dc276,TRAFFIC_LANE,007dc276,Downtown,14000US00000006974,37315,20,F,1500,1599,INDIA ST,"LINESTRING (-117.168317006654 32.72126333086271, -117.1683542236986 32.72125903796971)"
0087ea70,WALKWAY,0087ea70,Sabre Springs,14000US00000002192,178737,35,B,13500,13539,SABRE SPRINGS PKY,"LINESTRING (-117.0913748403527 32.96287132850259, -117.0914246466895 32.96281338081616)"
0089d770,WALKWAY,0089d770,Downtown,14000US00000006939,30632,20,T,300,399,W G ST,"LINESTRING (-117.166009787832 32.71245337416048, -117.1661015507594 32.71240894424336)"
0089ecf7,TRAFFIC_LANE,0089ecf7,Sabre Springs,14000US00000002192,178737,35,B,13500,13539,SABRE SPRINGS PKY,"LINESTRING (-117.0915786284282 32.96279783244862, -117.0914732964169 32.96269939409999)"
00a41972,WALKWAY,00a41972,Pacific Beach,14000US00000007204,37437,35,B,4326,4399,INGRAHAM ST,"LINESTRING (-117.2402887786941 32.79800248049686, -117.2402988935268 32.79803985786142)"
00a60672,WALKWAY,00a60672,Downtown,14000US00000006940,205236,20,B,1000,1199,KETTNER BLVD,"LINESTRING (-117.1690887286266 32.71755249388995, -117.1690528284586 32.71755703659837)"
00a61bf9,TRAFFIC_LANE,00a61bf9,Pacific Beach,14000US00000007204,37440,35,B,4400,4425,INGRAHAM ST,"LINESTRING (-117.2402638638485 32.79813508503536, -117.2403363649641 32.79812124044375)"
00b230f3,WALKWAY,00b230f3,Midway-Pacific Highway,14000US00000007004,103354,15,B,0,0,HENDERSON AVE,"LINESTRING (-117.2032419915411 32.74406579762881, -117.2032689458478 32.74414172972983)"
00b4337a,TRAFFIC_LANE,00b4337a,Midway-Pacific Highway,14000US00000007004,62157,20,B,2600,2669,TUSCALOOSA ST,"LINESTRING (-117.2032529707543 32.74422516655252, -117.2033586523546 32.74418830519623)"
00b6207a,TRAFFIC_LANE,00b6207a,Downtown,14000US00000006937,2480,20,T,264,399,10TH AVE,"LINESTRING (-117.1556492201577 32.70875683622029, -117.1555589581306 32.70874063326387)"
00c04874,WALKWAY,00c04874,Kearny Mesa,14000US00000007136,51085,25,B,4900,4999,RUFFNER ST,"LINESTRING (-117.1593324561232 32.83276416691039, -117.1594173161185 32.83276110309564)"
00c24afb,TRAFFIC_LANE,00c24afb,Kearny Mesa,14000US00000007136,18692,35,B,7100,7399,CLAIREMONT MESA BLVD,"LINESTRING (-117.1595508384324 32.83282227298174, -117.1595447215451 32.83271348370695)"
00ce5ff5,WALKWAY,00ce5ff5,Skyline-Paradise Hills,14000US00000001831,58436,35,B,6900,6999,SKYLINE DR,"LINESTRING (-117.0473413885822 32.70271896255722, -117.0472863826445 32.7027244391268)"
00d0627c,TRAFFIC_LANE,00d0627c,Skyline-Paradise Hills,14000US00000001831,58436,35,B,6900,6999,SKYLINE DR,"LINESTRING (-117.0472119071032 32.70267034430643, -117.0472094140108 32.70274921810169)"
00dc7776,WALKWAY,00dc7776,Downtown,14000US00000006974,19344,20,T,1400,1499,COLUMBIA ST,"LINESTRING (-117.1675056434517 32.72107495532534, -117.1675539021063 32.72107780826595)"
00ea8ef7,WALKWAY,00ea8ef7,Old Town San Diego,14000US00000001927,36345,35,B,4570,4599,PACIFIC HWY,"LINESTRING (-117.2013330678093 32.75537489210399, -117.2012187366793 32.75541753485633)"
01696280,WALKWAY,01696280,Downtown,14000US00000006938,14342,20,F,1400,1499,C ST,"LINESTRING (-117.1509773582996 32.71672856577289, -117.1509429117375 32.7166989762032)"
016b4f80,WALKWAY,016b4f80,Downtown,14000US00000006974,54947,20,F,1500,1599,STATE ST,"LINESTRING (-117.1666392499902 32.72163434412656, -117.1665974030117 32.72163878111229)"
016b6507,TRAFFIC_LANE,016b6507,Downtown,14000US00000006938,14342,20,F,1400,1499,C ST,"LINESTRING (-117.1510309722823 32.71674174884931, -117.1510082115446 32.71687563298384)"
016d5207,TRAFFIC_LANE,016d5207,Downtown,14000US00000007137,54947,20,F,1500,1599,STATE ST,"LINESTRING (-117.1665979617621 32.72162305730738, -117.1664623073471 32.72163569388122)"
01777a01,WALKWAY,01777a01,Mid-City:Eastern Area,14000US00000001165,16408,20,B,3900,3999,CASITA WAY,"LINESTRING (-117.0514281319474 32.74864814633639, -117.0513962715217 32.74864791283518)"
01796701,WALKWAY,01796701,Downtown,14000US00000006974,40054,20,T,1700,1899,KETTNER BLVD,"LINESTRING (-117.1691725487802 32.72369197284351, -117.1692422599462 32.72368465817151)"
01797c88,TRAFFIC_LANE,01797c88,Mid-City:Eastern Area,14000US00000001165,16408,20,B,3900,3999,CASITA WAY,"LINESTRING (-117.0514050734413 32.74862329101207, -117.0512820412872 32.74860573922365)"
017b6988,TRAFFIC_LANE,017b6988,Downtown,14000US00000006974,40054,20,T,1700,1899,KETTNER BLVD,"LINESTRING (-117.1692083916556 32.72368560901673, -117.1693983588172 32.72368192549855)"
01859182,WALKWAY,01859182,Ocean Beach,14000US00000007027,57287,20,B,4900,4999,SARATOGA AVE,"LINESTRING (-117.2495660375868 32.74874699370347, -117.2495949308111 32.74875937320611)"
01879409,TRAFFIC_LANE,01879409,Ocean Beach,14000US00000007027,57287,20,B,4900,4999,SARATOGA AVE,"LINESTRING (-117.2495698773482 32.74872464875858, -117.2494777135359 32.7486748659529)"
0193a903,WALKWAY,0193a903,Greater North Park,14000US00000002733,12964,35,B,3300,3399,BOUNDARY ST,"LINESTRING (-117.1202807529729 32.73979011840576, -117.120327033039 32.73973574824746)"
0195ab8a,TRAFFIC_LANE,0195ab8a,Greater North Park,14000US00000002733,12964,35,B,3300,3399,BOUNDARY ST,"LINESTRING (-117.1203178152959 32.73980498007656, -117.1202532104743 32.73972622408304)"
01a1c084,WALKWAY,01a1c084,Uptown,14000US00000007137,1656,35,B,2000,2099,06TH AVE,"LINESTRING (-117.1594478275019 32.7271880107565, -117.1594500165897 32.72711389367713)"
01a3c30b,TRAFFIC_LANE,01a3c30b,Uptown,14000US00000007137,1656,35,B,2000,2099,06TH AVE,"LINESTRING (-117.1595070600411 32.72702895544455, -117.1593358083431 32.72699595679229)"
01afd805,WALKWAY,01afd805,Ocean Beach,14000US00000007023,11592,20,B,4500,4599,BERMUDA AVE,"LINESTRING (-117.2508744433628 32.73491732635017, -117.2508989657145 32.73495467021317)"
01b1da8c,TRAFFIC_LANE,01b1da8c,Ocean Beach,14000US00000007023,11592,20,B,4500,4599,BERMUDA AVE,"LINESTRING (-117.2508860762543 32.73490097352987, -117.2508244452709 32.73487657523794)"
01f83a8a,WALKWAY,01f83a8a,Downtown,14000US00000006974,37337,20,F,1600,1699,INDIA ST,"LINESTRING (-117.1681966340418 32.72227008306906, -117.1682424242133 32.72226945565391)"
01fa3d11,TRAFFIC_LANE,01fa3d11,Downtown,14000US00000006974,37337,20,F,1600,1699,INDIA ST,"LINESTRING (-117.1682665701301 32.722309869288, -117.1683939759547 32.72237917206389)"
0206520b,WALKWAY,0206520b,Downtown,14000US00000007137,850,20,F,1500,1599,03RD AVE,"LINESTRING (-117.1618964721972 32.7219260179582, -117.1618919560545 32.72185321268672)"
0220940d,WALKWAY,0220940d,Greater North Park,14000US00000002733,10477,20,B,2500,2599,BANCROFT ST,"LINESTRING (-117.1244473769341 32.73277961401032, -117.1243340485695 32.73277884243529)"
0222810d,WALKWAY,0222810d,Downtown,14000US00000006940,40043,20,B,900,999,KETTNER BLVD,"LINESTRING (-117.1690858833651 32.71482659748179, -117.1691110710421 32.71482615591356)"
02229694,TRAFFIC_LANE,02229694,Greater North Park,14000US00000002733,10477,20,B,2500,2599,BANCROFT ST,"LINESTRING (-117.1244441007181 32.73271623232001, -117.124449689137 32.7327950668528)"
02248394,TRAFFIC_LANE,02248394,Downtown,14000US00000006940,40043,20,B,900,999,KETTNER BLVD,"LINESTRING (-117.1691234289823 32.71486620408673, -117.1692505350523 32.71485448256399)"
0230988e,WALKWAY,0230988e,Downtown,14000US00000006940,40046,20,B,700,799,KETTNER BLVD,"LINESTRING (-117.1691782480582 32.71351480197396, -117.1691776238043 32.71343570586881)"
02329b15,TRAFFIC_LANE,02329b15,Downtown,14000US00000006940,40046,20,B,700,799,KETTNER BLVD,"LINESTRING (-117.1691973792692 32.71343509400991, -117.169007676422 32.71336051920482)"
023eb00f,WALKWAY,023eb00f,Downtown,14000US00000007137,16770,20,B,600,699,CEDAR ST,"LINESTRING (-117.1586899168285 32.72187871974666, -117.1587071016086 32.72191184094887)"
0240b296,TRAFFIC_LANE,0240b296,Downtown,14000US00000007137,16770,20,B,600,699,CEDAR ST,"LINESTRING (-117.1587426590291 32.72200489824473, -117.1587232398609 32.72206815473392)"
024ada90,WALKWAY,024ada90,Mira Mesa,14000US00000005726,68950,20,B,10900,10939,MONTONGO ST,"LINESTRING (-117.1523083188577 32.91613161061065, -117.1523033091197 32.91608456122795)"
024cdd17,TRAFFIC_LANE,024cdd17,Mira Mesa,14000US00000005726,68950,20,B,10900,10939,MONTONGO ST,"LINESTRING (-117.1523530948222 32.91612287054134, -117.1522668851876 32.91612821209295)"
0258f211,WALKWAY,0258f211,Torrey Pines,14000US00000001991,68333,45,B,10700,10799,VISTA SORRENTO PKY,"LINESTRING (-117.2212397651685 32.90241248132504, -117.221272466329 32.90244815065817)"
025adf11,WALKWAY,025adf11,Downtown,14000US00000006938,2491,20,T,1000,1099,10TH AVE,"LINESTRING (-117.1557616824298 32.71616562989514, -117.1557111209572 32.71617767918339)"
025af498,TRAFFIC_LANE,025af498,Torrey Pines,14000US00000001991,68336,50,B,10800,10807,VISTA SORRENTO PKY,"LINESTRING (-117.2214594920467 32.90275008476875, -117.2215234330233 32.90270457515192)"
02670992,WALKWAY,02670992,Tierrasanta,14000US00000007414,69772,35,B,3600,3699,SANTO RD,"LINESTRING (-117.105446767973 32.80972563068057, -117.1055044561714 32.80972054888063)"
02690c19,TRAFFIC_LANE,02690c19,Tierrasanta,14000US00000007250,70576,35,B,10300,10399,AERO DR,"LINESTRING (-117.1056971143301 32.80979967005213, -117.1056822304435 32.80971316639634)"
02752113,WALKWAY,02752113,Downtown,14000US00000006938,30597,20,F,1500,1599,G ST,"LINESTRING (-117.1499634820651 32.71255159046867, -117.1498529626772 32.71250206032789)"
02833894,WALKWAY,02833894,Navajo,14000US00000006946,14972,35,B,7400,7599,MISSION GORGE RD,"LINESTRING (-117.0788754914426 32.80680763537263, -117.0788190099612 32.80682580189209)"
02853b1b,TRAFFIC_LANE,02853b1b,Navajo,14000US00000001877,221219,0,B,0,0,TIERRASANTA BLVD,"LINESTRING (-117.0789709403192 32.80697881824934, -117.0791382226556 32.80694708064966)"
02915015,WALKWAY,02915015,Greater North Park,14000US00000001571,46888,20,B,4334,4399,MISSISSIPPI ST,"LINESTRING (-117.1414389611359 32.75736917680329, -117.1414379525206 32.75731959491113)"
0293529c,TRAFFIC_LANE,0293529c,Greater North Park,14000US00000001571,46888,20,B,4334,4399,MISSISSIPPI ST,"LINESTRING (-117.1415303171313 32.75732073570153, -117.1415404985877 32.75726513492765)"
029f6796,WALKWAY,029f6796,Uptown,14000US00000001391,39342,20,B,300,399,JUNIPER ST,"LINESTRING (-117.1612209222643 32.72924185238156, -117.16122012558 32.72917658912554)"
02a16a1d,TRAFFIC_LANE,02a16a1d,Uptown,14000US00000001391,39342,20,B,300,399,JUNIPER ST,"LINESTRING (-117.1612819967736 32.72915847099708, -117.1611780558027 32.72914120174013)"
02e7ca1b,WALKWAY,02e7ca1b,Downtown,14000US00000007137,11325,20,B,900,999,BEECH ST,"LINESTRING (-117.1555869285169 32.72096132192987, -117.1556239461149 32.72096701421805)"
02e9cca2,TRAFFIC_LANE,02e9cca2,Downtown,14000US00000007137,2494,20,B,1500,1599,10TH AVE,"LINESTRING (-117.1555147871113 32.72094515737149, -117.1553612728609 32.72092928968219)"
02f5e19c,WALKWAY,02f5e19c,Downtown,14000US00000006940,40042,20,B,800,899,KETTNER BLVD,"LINESTRING (-117.1693507426355 32.7139612557753, -117.1692960775422 32.71397276165573)"
02f7e423,TRAFFIC_LANE,02f7e423,Downtown,14000US00000006940,40042,20,B,800,899,KETTNER BLVD,"LINESTRING (-117.1692039680191 32.7140109265534, -117.1690385758074 32.71412055846493)"
0303f91d,WALKWAY,0303f91d,Downtown,14000US00000006940,19349,20,T,1000,1099,COLUMBIA ST,"LINESTRING (-117.1674811062934 32.71626225849123, -117.1675394382105 32.71626583216149)"
031e3b1f,WALKWAY,031e3b1f,Greater North Park,14000US00000001592,25275,20,B,3036,3049,DWIGHT ST,"LINESTRING (-117.1283710822818 32.74380141603776, -117.1283038231497 32.74380087585294)"
0320281f,WALKWAY,0320281f,Downtown,14000US00000006940,25479,20,B,700,778,W E ST,"LINESTRING (-117.169313807235 32.71477296180444, -117.1693807903289 32.71480642213767)"
03203da6,TRAFFIC_LANE,03203da6,Greater North Park,14000US00000001592,25275,20,B,3036,3049,DWIGHT ST,"LINESTRING (-117.1284147129517 32.74377063790925, -117.1284364372513 32.74384342631271)"
032c52a0,WALKWAY,032c52a0,Downtown,14000US00000006938,2713,20,B,1100,1199,PARK BLVD,"LINESTRING (-117.1538246609652 32.71778634656064, -117.1538220040699 32.71773481581379)"
032e3fa0,WALKWAY,032e3fa0,Downtown,14000US00000006940,38211,20,B,200,299,W ISLAND AVE,"LINESTRING (-117.165202642799 32.71033543727753, -117.1652415910585 32.7102793103417)"
032e5527,TRAFFIC_LANE,032e5527,Downtown,14000US00000006938,2713,20,B,1100,1199,PARK BLVD,"LINESTRING (-117.153889121795 32.71774141889635, -117.1537898504548 32.71775216814822)"
03304227,TRAFFIC_LANE,03304227,Downtown,14000US00000006940,38211,20,B,200,299,W ISLAND AVE,"LINESTRING (-117.1652233026864 32.7104197809093, -117.1652033985586 32.71047084478759)"
033a6a21,WALKWAY,033a6a21,University,14000US00000001928,215501,35,B,10130,10299,NORTH TORREY PINES RD,"LINESTRING (-117.2403324404155 32.89170025949692, -117.2402791629936 32.89164979470057)"
033c6ca8,TRAFFIC_LANE,033c6ca8,University,14000US00000001928,170111,35,B,10530,10599,GENESEE AVE,"LINESTRING (-117.2401731343336 32.89152513688266, -117.2400765686866 32.89161168436694)"
034881a2,WALKWAY,034881a2,Mid-City:City Heights,14000US00000002766,35851,35,B,4050,4099,HOME AVE,"LINESTRING (-117.1077058761055 32.72323288098005, -117.1077518821581 32.7231991518337)"
034a8429,TRAFFIC_LANE,034a8429,Mid-City:City Heights,14000US00000002766,35851,35,B,4050,4099,HOME AVE,"LINESTRING (-117.1078341156466 32.72319196161158, -117.1077593015101 32.72312710181705)"
0364b0a4,WALKWAY,0364b0a4,Peninsula,14000US00000001767,55837,35,B,1050,1099,ROSECRANS ST,"LINESTRING (-117.2319303764996 32.72145226360788, -117.2319609746675 32.72141348955536)"
0366b32b,TRAFFIC_LANE,0366b32b,Peninsula,14000US00000001767,55837,35,B,1050,1099,ROSECRANS ST,"LINESTRING (-117.2320505663057 32.72137560348354, -117.2319634454093 32.72135472975685)"
039efba8,WALKWAY,039efba8,Downtown,14000US00000006974,54949,20,F,1800,1899,STATE ST,"LINESTRING (-117.1669222838343 32.72435992803281, -117.166850179415 32.72437975573396)"
03a0fe2f,TRAFFIC_LANE,03a0fe2f,Downtown,14000US00000006974,54949,20,F,1800,1899,STATE ST,"LINESTRING (-117.1668623830951 32.72435828980455, -117.1666876165858 32.72437983657874)"
03ad1329,WALKWAY,03ad1329,Downtown,14000US00000006974,40061,35,T,2200,2299,KETTNER BLVD,"LINESTRING (-117.1709094184278 32.72771464941768, -117.1708520380876 32.72773399573654)"
03bb2aaa,WALKWAY,03bb2aaa,Downtown,14000US00000006940,39519,20,B,300,399,K ST,"LINESTRING (-117.1617252559581 32.70840825290829, -117.161744519486 32.7084440268359)"
03bd2d31,TRAFFIC_LANE,03bd2d31,Downtown,14000US00000006940,39519,20,B,300,399,K ST,"LINESTRING (-117.1617576409634 32.70836278736596, -117.1617544892092 32.70831850696671)"
03d759ac,WALKWAY,03d759ac,Downtown,14000US00000006974,16830,20,B,800,899,W CEDAR ST,"LINESTRING (-117.1705119528671 32.72203525710935, -117.1705241462404 32.72209691253459)"
03d95c33,TRAFFIC_LANE,03d95c33,Downtown,14000US00000006974,16830,20,B,800,899,W CEDAR ST,"LINESTRING (-117.1704714036578 32.72195500176806, -117.1704798863256 32.72187447513976)"
03e23a6ace01fc14a86ab250ce65b682,PARKING_ZONE,03e23a6ace01fc14a86ab250ce65b682,Downtown,14000US00000006974,40053,20,T,1600,1699,KETTNER BLVD,"POLYGON ((-117.1692215138037 32.72279861805261, -117.1692818635105 32.72276138528721, -117.1693008068127 32.72278311746975, -117.1692404571138 32.72282035023515, -117.1692215138037 32.72279861805261))"
03e5712d,WALKWAY,03e5712d,Downtown,14000US00000006938,28391,20,T,1200,1299,F ST,"LINESTRING (-117.1526344141251 32.71356224664335, -117.1526229610524 32.71358127768458)"
03e773b4,TRAFFIC_LANE,03e773b4,Downtown,14000US00000006938,28392,20,T,1300,1399,F ST,"LINESTRING (-117.1525084774538 32.7136418542256, -117.1525454720215 32.71370810877296)"
03f19bae,WALKWAY,03f19bae,Barrio Logan,14000US00000001788,33791,35,B,2351,2749,HARBOR DR,"LINESTRING (-117.1392332320935 32.69254099510589, -117.1391843216671 32.69251602936308)"
03f388ae,WALKWAY,03f388ae,Downtown,14000US00000006938,28390,20,T,1400,1499,F ST,"LINESTRING (-117.1516499034931 32.71374851148153, -117.1516496540271 32.71381341255867)"
03f39e35,TRAFFIC_LANE,03f39e35,Barrio Logan,14000US00000001788,33791,35,B,2351,2749,HARBOR DR,"LINESTRING (-117.1391234287468 32.69247907113019, -117.1390662318487 32.69253774599328)"
03f58b35,TRAFFIC_LANE,03f58b35,Downtown,14000US00000006938,28390,20,T,1400,1499,F ST,"LINESTRING (-117.1515836278416 32.71373099027092, -117.1516054304074 32.7136256822517)"
0401a02f,WALKWAY,0401a02f,Downtown,14000US00000006937,2711,20,T,500,599,PARK BLVD,"LINESTRING (-117.1539767092736 32.71141147615747, -117.1539433610398 32.71137443626695)"
0403a2b6,TRAFFIC_LANE,0403a2b6,Downtown,14000US00000006938,5913,20,B,1100,1199,MARKET ST,"LINESTRING (-117.1540377216301 32.7114500857237, -117.1540322504722 32.71154644774291)"
040fb7b0,WALKWAY,040fb7b0,Downtown,14000US00000006939,30238,25,T,1100,1199,FRONT ST,"LINESTRING (-117.1646378131026 32.71740887821682, -117.1646662206419 32.7174140381837)"
041dcf31,WALKWAY,041dcf31,Downtown,14000US00000006939,30632,20,T,300,399,W G ST,"LINESTRING (-117.1658977706036 32.71266196798976, -117.1658924231796 32.71261935638916)"
04381133,WALKWAY,04381133,Serra Mesa,14000US00000006944,46875,35,B,3179,3299,MISSION VILLAGE DR,"LINESTRING (-117.1290573741757 32.80196074236309, -117.1291007192286 32.80197818786593)"
043a13ba,TRAFFIC_LANE,043a13ba,Serra Mesa,14000US00000006944,32020,35,B,9100,9299,GRAMERCY DR,"LINESTRING (-117.1291658621825 32.80204257034786, -117.1292007437656 32.80193452807865)"
049ca2ba,WALKWAY,049ca2ba,Downtown,14000US00000006974,19352,20,T,2000,2099,COLUMBIA ST,"LINESTRING (-117.1685023104925 32.7262393018946, -117.1685678154123 32.72623741590267)"
04b8d1bc,WALKWAY,04b8d1bc,Downtown,14000US00000006939,61866,20,B,1000,1099,UNION ST,"LINESTRING (-117.1657458489334 32.71610265045655, -117.1657723780607 32.71610475801899)"
04bad443,TRAFFIC_LANE,04bad443,Downtown,14000US00000006939,61866,20,B,1000,1099,UNION ST,"LINESTRING (-117.1656295287222 32.71611890160777, -117.1654662349597 32.71612402454041)"
04c6e93d,WALKWAY,04c6e93d,Downtown,14000US00000006974,37315,20,F,1500,1599,INDIA ST,"LINESTRING (-117.1681557249942 32.72168484392362, -117.1682195515318 32.72167890138441)"
04c8ebc4,TRAFFIC_LANE,04c8ebc4,Downtown,14000US00000006974,37315,20,F,1500,1599,INDIA ST,"LINESTRING (-117.1682281114085 32.72167231578729, -117.168355621489 32.72159692205935)"
04e3183f,WALKWAY,04e3183f,Downtown,14000US00000007137,16774,20,B,800,899,CEDAR ST,"LINESTRING (-117.1576372715695 32.7218730047711, -117.1576610891903 32.72192358828188)"
04e51ac6,TRAFFIC_LANE,04e51ac6,Downtown,14000US00000007137,16774,20,B,800,899,CEDAR ST,"LINESTRING (-117.1576653637796 32.72201214335736, -117.1576922331644 32.72208588564934)"
050b71c2,WALKWAY,050b71c2,Mid-City:Eastern Area,14000US00000001966,51206,20,B,4200,4399,WEST OVERLOOK DR,"LINESTRING (-117.0712578081293 32.75393410725393, -117.0712830736572 32.75392547937108)"
050d7449,TRAFFIC_LANE,050d7449,Mid-City:Eastern Area,14000US00000001966,51206,20,B,4200,4399,WEST OVERLOOK DR,"LINESTRING (-117.0712842019876 32.75397331591511, -117.071183566174 32.75402759023595)"
051zxsk4ofy6jl2daq51,PARKING_ZONE,051zxsk4ofy6jl2daq51,Downtown,14000US00000006939,2027,20,T,700,799,08TH AVE,"POLYGON ((-117.1573513379163 32.71334498111509, -117.1573486557576 32.71306514116562, -117.1573806844958 32.713064923838, -117.157383366755 32.71334476378747, -117.1573513379163 32.71334498111509))"
0553d447,WALKWAY,0553d447,Downtown,14000US00000006938,28381,20,T,1000,1099,F ST,"LINESTRING (-117.1549674050874 32.71356410825649, -117.1549612642353 32.71353197440683)"
0555d6ce,TRAFFIC_LANE,0555d6ce,Downtown,14000US00000006938,28381,20,T,1000,1099,F ST,"LINESTRING (-117.1549594152111 32.71362315477977, -117.1549596597682 32.71369525294106)"
05700349,WALKWAY,05700349,Downtown,14000US00000006940,38175,20,B,100,199,ISLAND AVE,"LINESTRING (-117.1633750439084 32.71048189184108, -117.1633899402243 32.71066367145434)"
057205d0,TRAFFIC_LANE,057205d0,Downtown,14000US00000006940,38175,20,B,100,199,ISLAND AVE,"LINESTRING (-117.1632770886958 32.71043255079272, -117.1632761144555 32.71030364390435)"
057e1aca,WALKWAY,057e1aca,Downtown,14000US00000006974,37320,35,F,2100,2199,INDIA ST,"LINESTRING (-117.1695940553015 32.72698325316278, -117.1695339391367 32.72699764415332)"
05801d51,TRAFFIC_LANE,05801d51,Downtown,14000US00000006974,37320,35,F,2100,2199,INDIA ST,"LINESTRING (-117.1696985653746 32.72695443433335, -117.1697627417915 32.7269532074029)"
058c324b,WALKWAY,058c324b,Downtown,14000US00000006940,38212,20,B,100,199,W ISLAND AVE,"LINESTRING (-117.1643550157011 32.71052646198944, -117.1643569636089 32.71049714592246)"
058e34d2,TRAFFIC_LANE,058e34d2,Downtown,14000US00000006940,38212,20,B,100,199,W ISLAND AVE,"LINESTRING (-117.1643340695986 32.71047257553811, -117.164320309868 32.71031003161681)"
05a8614d,WALKWAY,05a8614d,Downtown,14000US00000006974,19372,20,T,1800,1899,COLUMBIA ST,"LINESTRING (-117.1675427963657 32.7242715724248, -117.1674979204606 32.72427105529459)"
05b678ce,WALKWAY,05b678ce,Downtown,14000US00000006940,5905,20,B,800,899,MARKET ST,"LINESTRING (-117.1567682312385 32.71140820167255, -117.1567680833905 32.71138411701862)"
05b87b55,TRAFFIC_LANE,05b87b55,Downtown,14000US00000006939,5905,20,B,800,899,MARKET ST,"LINESTRING (-117.156825986753 32.71143919065279, -117.1568100809454 32.71156705999967)"
05c4904f,WALKWAY,05c4904f,Downtown,14000US00000006938,2486,20,T,600,699,10TH AVE,"LINESTRING (-117.1556537420756 32.7119827907588, -117.1556946886751 32.71198261260687)"
05c692d6,TRAFFIC_LANE,05c692d6,Downtown,14000US00000006938,2486,20,T,600,699,10TH AVE,"LINESTRING (-117.1556396796296 32.71199316096845, -117.1554397778695 32.71193328627243)"
05d2a7d0,WALKWAY,05d2a7d0,Downtown,14000US00000006974,40056,20,T,1900,1999,KETTNER BLVD,"LINESTRING (-117.1696565445975 32.72490512918905, -117.1695935288716 32.72493055696761)"
05d4aa57,TRAFFIC_LANE,05d4aa57,Downtown,14000US00000006974,40056,20,T,1900,1999,KETTNER BLVD,"LINESTRING (-117.1697058906742 32.72495788181486, -117.1698316490508 32.72493273039115)"
05yh4xfuhdvbjl5dc16y,PARKING_ZONE,05yh4xfuhdvbjl5dc16y,Downtown,14000US00000006940,528,20,B,400,499,02ND AVE,"POLYGON ((-117.1627861992826 32.71031076045004, -117.1627861994202 32.70954455760164, -117.1628182279359 32.70954455760164, -117.1628182280734 32.71031076045004, -117.1627861992826 32.71031076045004))"
06517b59,WALKWAY,06517b59,Rancho Penasquitos,14000US00000002166,52386,35,B,14800,14969,PENASQUITOS DR,"LINESTRING (-117.0909531640163 32.9857709951271, -117.0909393078362 32.98576265202973)"
06537de0,TRAFFIC_LANE,06537de0,Rancho Penasquitos,14000US00000002167,52386,35,B,14800,14969,PENASQUITOS DR,"LINESTRING (-117.0909481852804 32.98579457492461, -117.0910222696383 32.98582529295914)"
065f92da,WALKWAY,065f92da,Downtown,14000US00000006974,19370,20,T,1600,1699,COLUMBIA ST,"LINESTRING (-117.1675508533887 32.72229783481768, -117.1674821186217 32.72228632179415)"
067bc1dc,WALKWAY,067bc1dc,Downtown,14000US00000006940,40046,20,B,700,799,KETTNER BLVD,"LINESTRING (-117.169323215988 32.71322370142376, -117.1692837156694 32.71322163148512)"
067dc463,TRAFFIC_LANE,067dc463,Downtown,14000US00000006940,40046,20,B,700,799,KETTNER BLVD,"LINESTRING (-117.1692202654881 32.71324704226245, -117.1690862244978 32.71328103725389)"
