locationuid,locationtype,parentlocationuid,community_name,tract_geoid,roadsegid,speed,oneway,abloaddr,abhiaddr,rd30full,geometry
b8b406d7,WALKWAY,b8b406d7,Downtown,14000US00000006937,38188,20,B,1400,1499,ISLAND AVE,"LINESTRING (-117.151342723148 32.71068721732828, -117.1513761355858 32.71055442473945)"
b8b6095e,TRAFFIC_LANE,b8b6095e,Downtown,14000US00000006937,38188,20,B,1400,1499,ISLAND AVE,"LINESTRING (-117.1513566311948 32.71050235376772, -117.1513748243056 32.71043573068729)"
b8ba0202,WALKWAY,b8ba0202,Downtown,14000US00000006940,44851,20,B,500,549,W MARKET ST,"LINESTRING (-117.1675407945472 32.71167304104989, -117.1674939194489 32.71169856428059)"
b8bc0489,TRAFFIC_LANE,b8bc0489,Downtown,14000US00000006940,,,,,,,"LINESTRING (-117.167506293541 32.7117199469932, -117.1678344726411 32.71176436803664)"
b8c21e58,WALKWAY,b8c21e58,Downtown,14000US00000006939,240,20,F,700,799,01ST AVE,"LINESTRING (-117.1639055816643 32.71299758078639, -117.1639545156121 32.7129957719089)"
b8c420df,TRAFFIC_LANE,b8c420df,Downtown,14000US00000006939,240,20,F,700,799,01ST AVE,"LINESTRING (-117.1638912413054 32.71305172823592, -117.1637059805586 32.71305844751618)"
b8de4d5a,WALKWAY,b8de4d5a,Downtown,14000US00000006940,527,20,B,500,599,02ND AVE,"LINESTRING (-117.1627913370213 32.71070515985944, -117.1627307405824 32.71072239908155)"
b8e04fe1,TRAFFIC_LANE,b8e04fe1,Downtown,14000US00000006940,527,20,B,500,599,02ND AVE,"LINESTRING (-117.1628568185696 32.71066751201654, -117.1629694136265 32.71062557077716)"
b8e44885,WALKWAY,b8e44885,Downtown,14000US00000006937,39532,20,B,1500,1599,K ST,"LINESTRING (-117.1500226531337 32.70846890541137, -117.1500494324949 32.70850902584079)"
b8e64b0c,TRAFFIC_LANE,b8e64b0c,Downtown,14000US00000006937,39528,20,B,1400,1499,K ST,"LINESTRING (-117.1500735649713 32.70844410388915, -117.1500857819023 32.70835654129836)"
b8f88f5c,WALKWAY,b8f88f5c,Downtown,14000US00000006937,38172,20,B,1000,1099,ISLAND AVE,"LINESTRING (-117.1552289383682 32.71033224127871, -117.1552152630836 32.71037200116589)"
b8fa7c5c,WALKWAY,b8fa7c5c,Downtown,14000US00000006938,3151,20,B,700,799,17TH ST,"LINESTRING (-117.1486594411235 32.71311552868439, -117.1487169248475 32.71310760609226)"
b8fa91e3,TRAFFIC_LANE,b8fa91e3,Downtown,14000US00000006937,38172,20,B,1000,1099,ISLAND AVE,"LINESTRING (-117.1551584586971 32.71044778887486, -117.1551314247996 32.71052263048674)"
b8fc7ee3,TRAFFIC_LANE,b8fc7ee3,Downtown,14000US00000006938,3151,20,B,700,799,17TH ST,"LINESTRING (-117.1486460758191 32.71314517063082, -117.1484184688718 32.71312493438015)"
b90893dd,WALKWAY,b90893dd,Downtown,14000US00000006939,9999,20,T,500,599,B ST,"LINESTRING (-117.1595805537099 32.71798054205216, -117.1595826133218 32.71790054263997)"
b90a9664,TRAFFIC_LANE,b90a9664,Downtown,14000US00000006939,,,,,,,"LINESTRING (-117.1595614549023 32.71789197895817, -117.1599240747971 32.71711243853133)"
b99b7a12,WALKWAY,b99b7a12,Downtown,14000US00000006938,25434,20,B,1400,1499,E ST,"LINESTRING (-117.1508759510813 32.71463528296514, -117.1509009188413 32.71459751824475)"
b99d7c99,TRAFFIC_LANE,b99d7c99,Downtown,14000US00000006938,25434,20,B,1400,1499,E ST,"LINESTRING (-117.1508486282437 32.71464365860977, -117.1507204480463 32.71487879492111)"
b9a39668,WALKWAY,b9a39668,Downtown,14000US00000006937,3147,20,T,1,99,17TH ST,"LINESTRING (-117.1484193651382 32.70609144959804, -117.1484522980932 32.70608793199398)"
